temperature_c,humidity_pct,distance_mm_day,tilt_deg,risk_level
32.2,78.55,11.027,3.273,DANGER
29.36,76.02,4.859,1.657,WARNING
41.65,85.78,15.315,3.889,DANGER
31.42,95.0,8.912,1.837,DANGER
36.09,74.28,10.819,1.702,DANGER
35.37,62.81,13.245,2.753,DANGER
33.54,77.73,13.202,1.994,DANGER
32.87,67.02,14.118,3.017,DANGER
31.8,92.22,14.377,1.403,DANGER
30.66,72.9,11.226,1.681,DANGER
32.94,67.48,15.499,2.474,DANGER
31.82,66.82,4.54,1.434,WARNING
35.14,89.78,11.982,5.0,DANGER
36.33,72.45,10.074,2.467,DANGER
35.28,70.12,10.973,2.413,DANGER
39.49,95.0,13.685,1.971,DANGER
24.12,66.49,13.575,1.66,DANGER
37.56,76.69,13.512,2.818,DANGER
40.11,87.37,11.743,2.182,DANGER
25.76,62.77,11.454,3.913,DANGER
34.8,81.37,12.813,3.582,DANGER
38.15,66.13,16.373,3.248,DANGER
32.58,84.04,14.263,2.723,DANGER
35.24,66.76,10.234,2.938,DANGER
31.92,88.04,16.721,2.289,DANGER
42.07,90.45,17.228,3.766,DANGER
36.31,88.84,16.323,3.317,DANGER
40.41,78.79,12.321,3.161,DANGER
27.17,62.22,1.025,-1.773,WARNING
21.61,58.08,0.126,-0.156,SAFE
23.43,82.65,3.862,0.669,WARNING
26.47,56.61,0.184,-0.854,SAFE
21.33,52.56,0.077,-0.601,SAFE
27.14,72.98,0.11,0.634,SAFE
24.28,55.45,0.259,-1.181,SAFE
23.88,53.6,2.057,0.846,WARNING
27.13,47.68,0.217,-0.426,SAFE
26.33,59.21,0.162,-0.311,SAFE
23.92,64.01,0.105,-0.899,SAFE
28.48,67.92,0.106,0.302,SAFE
21.76,76.42,2.482,1.968,WARNING
26.85,71.32,0.062,0.625,SAFE
26.78,62.71,0.197,-0.691,SAFE
24.07,62.62,0.147,0.908,SAFE
25.98,71.12,0.111,-0.253,SAFE
21.25,80.27,0.928,1.1,WARNING
27.77,66.52,0.091,0.645,SAFE
24.45,59.37,1.748,-2.355,WARNING
23.43,53.09,0.043,-0.803,SAFE
28.15,47.66,0.12,0.756,SAFE
22.89,73.0,0.082,0.121,SAFE
20.77,71.94,0.131,-0.819,SAFE
20.33,71.93,0.057,-0.507,SAFE
26.82,63.46,2.031,-1.525,WARNING
21.16,81.88,0.083,-0.071,SAFE
30.26,59.19,1.637,1.769,WARNING
18.75,76.46,3.216,0.644,WARNING
30.09,64.54,7.053,1.752,DANGER
25.63,57.7,0.266,0.706,SAFE
24.71,72.11,1.704,0.822,WARNING
23.37,69.92,0.951,1.579,WARNING
26.2,69.28,0.122,0.302,SAFE
24.89,65.98,0.04,-0.15,SAFE
28.31,64.55,1.281,0.826,WARNING
25.34,93.66,1.384,1.163,WARNING
25.45,79.21,0.169,-0.384,SAFE
23.91,73.67,0.105,-0.577,SAFE
24.83,66.34,0.18,0.111,SAFE
25.92,77.09,2.003,0.665,WARNING
19.87,71.22,0.16,0.638,SAFE
20.96,65.31,0.176,-1.139,SAFE
27.23,61.36,1.554,1.529,WARNING
25.51,64.03,2.733,-0.513,WARNING
24.45,40.0,0.105,-0.212,SAFE
25.06,67.53,0.196,-0.722,SAFE
26.04,59.14,1.633,2.159,WARNING
23.38,84.11,3.16,0.194,WARNING
22.67,65.23,0.102,-0.681,SAFE
25.59,50.73,0.13,0.691,SAFE
22.06,64.4,2.38,0.615,WARNING
26.22,52.45,0.173,-0.15,SAFE
19.89,70.68,0.046,0.672,SAFE
28.09,68.49,0.58,-0.66,WARNING
26.42,76.49,0.146,-0.394,SAFE
25.77,55.51,4.455,-1.608,WARNING
27.95,65.41,0.217,-1.059,SAFE
30.0,48.62,2.905,1.446,WARNING
28.04,73.42,0.07,1.313,SAFE
19.48,71.23,0.151,0.053,SAFE
21.16,70.95,0.196,1.33,SAFE
23.13,65.02,0.216,-0.128,SAFE
25.08,69.98,0.0,-0.195,SAFE
26.55,84.25,2.451,0.045,WARNING
22.82,61.58,0.123,-0.1,SAFE
25.56,66.66,0.151,-0.172,SAFE
22.73,51.97,0.127,0.915,SAFE
23.17,54.58,0.041,0.12,SAFE
20.78,66.17,0.1,0.57,SAFE
22.23,78.25,0.879,0.825,WARNING
20.94,61.92,0.089,0.311,SAFE
22.07,62.17,0.185,-0.776,SAFE
28.16,60.12,0.067,-1.082,SAFE
22.15,58.58,0.136,0.119,SAFE
32.9,68.54,0.092,-0.137,SAFE
26.48,47.03,0.105,0.07,SAFE
25.55,80.37,0.137,-0.013,SAFE
22.42,57.01,2.146,2.067,WARNING
27.1,73.66,0.259,-1.064,SAFE
23.27,49.76,1.467,-1.592,WARNING
25.37,73.03,0.068,0.266,SAFE
32.68,73.06,0.039,-0.301,SAFE
24.71,69.61,0.179,0.253,SAFE
28.45,53.07,0.127,0.467,SAFE
22.89,67.99,0.187,1.027,SAFE
24.9,50.8,0.156,-1.206,SAFE
30.31,61.97,0.129,-0.445,SAFE
23.12,77.35,0.07,0.343,SAFE
30.44,74.56,1.388,0.616,WARNING
27.12,65.18,1.46,1.755,WARNING
23.31,53.3,0.076,0.765,SAFE
26.9,72.75,0.163,-0.045,SAFE
27.92,65.23,0.669,-0.712,WARNING
26.87,40.0,0.209,-0.451,SAFE
20.29,74.39,0.25,-0.474,SAFE
22.82,64.71,0.042,0.524,SAFE
24.26,79.43,0.086,0.206,SAFE
24.78,51.86,4.127,-1.059,WARNING
26.86,40.0,0.087,-0.349,SAFE
25.53,68.35,0.162,0.702,SAFE
20.99,68.5,0.045,0.281,SAFE
26.14,44.71,0.137,0.455,SAFE
26.83,53.26,0.111,0.306,SAFE
26.68,95.0,4.202,1.301,WARNING
28.24,61.33,0.121,0.189,SAFE
27.5,73.77,0.171,-0.309,SAFE
26.38,57.19,0.169,-0.733,SAFE
24.79,40.0,0.072,0.2,SAFE
20.02,62.96,1.95,-1.953,WARNING
26.29,61.81,0.226,-0.147,SAFE
25.62,60.2,0.314,-0.165,SAFE
25.81,63.62,0.147,-1.092,SAFE
21.17,68.17,3.378,-0.743,WARNING
21.76,63.2,0.183,0.648,SAFE
28.16,49.83,0.163,0.185,SAFE
24.88,70.83,0.092,0.081,SAFE
27.04,41.61,0.093,0.245,SAFE
25.08,40.4,0.038,0.074,SAFE
25.09,73.87,0.103,0.994,SAFE
27.81,71.08,0.147,0.099,SAFE
23.45,64.31,1.257,-1.167,WARNING
25.29,48.25,0.147,1.304,SAFE
23.61,56.51,0.383,0.296,SAFE
23.7,61.85,0.13,-0.471,SAFE
24.07,45.85,1.029,-1.003,WARNING
25.67,56.13,0.049,0.317,SAFE
23.56,72.83,0.086,-0.094,SAFE
28.77,82.13,2.369,1.259,WARNING
22.32,59.97,0.118,-0.277,SAFE
24.44,74.08,0.235,-0.67,SAFE
23.68,42.03,0.09,0.717,SAFE
29.34,72.91,0.746,0.74,WARNING
25.59,55.35,0.046,0.135,SAFE
28.1,68.69,0.5,0.541,WARNING
20.54,62.03,0.098,-0.03,SAFE
25.8,80.84,0.089,0.187,SAFE
27.67,54.51,0.124,0.932,SAFE
25.25,72.53,0.0,0.5,SAFE
28.2,61.65,3.762,-0.135,WARNING
23.45,63.1,0.12,1.082,SAFE
29.23,62.79,0.565,-1.892,WARNING
31.9,54.85,1.504,1.642,WARNING
23.91,64.83,0.174,-1.365,SAFE
23.66,64.25,0.072,-0.502,SAFE
29.36,67.89,0.198,-0.033,SAFE
29.74,66.01,0.262,-0.117,SAFE
23.43,74.58,0.066,0.805,SAFE
23.74,76.08,0.057,-0.846,SAFE
24.15,52.39,0.062,0.209,SAFE
20.97,75.43,0.164,-0.463,SAFE
22.24,50.76,0.091,0.236,SAFE
21.99,72.05,0.065,-0.052,SAFE
22.7,72.44,0.033,0.074,SAFE
24.9,42.06,0.159,-0.44,SAFE
25.7,66.12,0.011,-0.408,SAFE
29.65,59.38,0.031,0.23,SAFE
22.0,55.89,1.485,0.755,WARNING
27.95,81.21,1.138,-0.479,WARNING
24.36,57.16,0.237,-0.695,SAFE
24.85,55.32,0.074,0.491,SAFE
27.02,65.91,0.173,-0.026,SAFE
21.63,73.23,0.214,0.664,SAFE
26.15,63.3,0.147,-0.725,SAFE
25.5,79.0,0.229,-1.424,SAFE
26.48,71.37,0.163,-0.426,SAFE
25.87,40.0,3.83,-0.613,WARNING
32.37,58.65,0.079,-0.063,SAFE
23.09,58.26,0.094,-0.509,SAFE
23.41,70.75,0.153,0.593,SAFE
23.13,40.0,0.256,-0.231,SAFE
23.33,95.0,1.454,0.12,WARNING
23.09,71.37,0.37,0.126,SAFE
28.57,66.79,0.21,0.156,SAFE
29.26,79.18,0.031,-0.019,SAFE
23.29,93.12,1.767,0.408,WARNING
22.5,75.45,5.0,-0.637,WARNING
26.41,76.39,0.174,1.12,SAFE
23.34,66.57,0.052,-0.189,SAFE
26.9,63.3,0.188,-1.049,SAFE
25.61,59.29,0.0,0.15,SAFE
20.45,55.09,0.13,-0.681,SAFE
29.64,56.76,0.09,0.532,SAFE
30.39,48.79,1.388,1.768,WARNING
23.16,64.09,0.118,-0.629,SAFE
23.84,44.78,0.113,0.266,SAFE
25.86,67.29,2.881,-1.404,WARNING
26.0,64.56,0.225,0.363,SAFE
26.98,66.76,0.018,-0.709,SAFE
31.03,58.73,0.115,-0.5,SAFE
24.47,95.0,1.191,-0.881,WARNING
22.61,81.32,3.672,0.586,WARNING
20.86,50.07,0.5,0.806,WARNING
22.81,67.79,0.169,0.019,SAFE
24.9,57.7,3.04,-0.692,WARNING
30.38,52.83,3.694,1.272,WARNING
23.45,48.92,0.134,-0.6,SAFE
25.67,70.19,2.381,-1.73,WARNING
24.95,56.82,0.099,0.367,SAFE
28.57,76.61,0.116,-0.884,SAFE
32.58,76.93,0.835,0.791,WARNING
23.41,81.49,1.232,-0.305,WARNING
23.53,54.77,0.247,0.483,SAFE
28.13,70.7,0.135,1.121,SAFE
27.05,72.59,1.997,-0.967,WARNING
30.54,59.31,2.389,-0.453,WARNING
26.75,55.74,0.08,-0.061,SAFE
23.92,84.31,4.131,1.23,WARNING
26.77,67.73,5.0,-0.527,WARNING
28.33,72.63,0.177,-0.476,SAFE
27.46,55.14,0.128,0.383,SAFE
26.52,50.37,0.075,-0.462,SAFE
28.2,58.17,0.119,0.122,SAFE
28.51,63.51,0.177,-1.241,SAFE
29.15,52.23,1.771,1.771,WARNING
26.95,64.88,3.679,-1.078,WARNING
24.5,44.74,0.047,-0.257,SAFE
25.44,51.56,0.16,-0.026,SAFE
28.62,73.05,1.424,1.53,WARNING
22.55,72.25,0.19,-1.06,SAFE
26.11,60.3,3.665,1.587,WARNING
23.82,52.79,0.025,0.606,SAFE
25.09,52.67,0.07,0.334,SAFE
28.84,60.52,0.184,-0.788,SAFE
25.57,72.73,0.175,0.457,SAFE
25.14,76.14,0.088,-0.579,SAFE
20.92,59.04,0.168,1.013,SAFE
27.24,51.16,0.121,-0.777,SAFE
26.94,68.21,0.27,-0.091,SAFE
31.49,55.12,3.286,-0.444,WARNING
24.08,58.78,0.062,-0.79,SAFE
25.66,80.9,2.113,0.593,WARNING
25.75,74.93,0.15,0.428,SAFE
29.73,66.9,0.15,0.967,SAFE
24.71,49.74,0.118,-1.424,SAFE
25.84,67.54,1.144,0.851,WARNING
26.82,77.75,1.713,2.004,WARNING
25.56,60.49,0.103,-0.361,SAFE
23.66,81.21,1.353,1.516,WARNING
25.58,80.51,0.201,-0.211,SAFE
28.22,84.96,1.08,-1.098,WARNING
21.92,68.66,0.186,-0.245,SAFE
25.4,72.05,3.712,0.839,WARNING
22.9,81.97,0.826,-0.671,WARNING
28.59,70.37,0.129,-0.48,SAFE
20.43,58.99,0.166,0.475,SAFE
23.32,59.62,0.137,0.002,SAFE
26.13,67.86,0.074,0.468,SAFE
29.7,49.51,0.037,0.19,SAFE
24.8,63.28,0.146,0.384,SAFE
23.33,78.16,0.123,-0.346,SAFE
30.64,40.0,2.257,0.185,WARNING
20.66,83.41,1.371,-0.742,WARNING
18.4,78.47,0.18,1.031,SAFE
26.32,59.48,0.167,-0.507,SAFE
23.49,71.52,0.179,0.903,SAFE
21.94,65.04,0.053,-0.187,SAFE
27.13,79.76,0.107,0.162,SAFE
25.73,76.79,0.178,-0.396,SAFE
23.31,48.2,0.053,-0.813,SAFE
21.16,72.05,0.101,-1.396,SAFE
27.62,62.53,0.072,-0.844,SAFE
26.95,65.99,0.224,-0.259,SAFE
24.7,56.26,0.075,0.17,SAFE
30.54,85.98,1.481,0.808,WARNING
21.79,77.48,0.104,-0.357,SAFE
20.42,56.12,0.104,-0.706,SAFE
22.92,48.98,0.922,-1.154,WARNING
24.86,60.37,0.068,0.384,SAFE
25.73,70.21,1.303,1.107,WARNING
24.28,67.88,0.2,1.013,SAFE
26.06,80.04,1.916,0.568,WARNING
21.25,74.48,0.113,0.511,SAFE
29.33,76.63,2.909,1.358,WARNING
24.75,68.92,0.17,0.266,SAFE
28.35,48.33,2.777,0.517,WARNING
26.03,62.65,0.089,-0.257,SAFE
26.37,77.72,0.19,-1.09,SAFE
26.71,64.38,2.934,-0.547,WARNING
26.34,71.04,0.181,-0.007,SAFE
26.93,61.18,0.092,0.049,SAFE
28.99,52.64,1.26,1.541,WARNING
25.59,63.52,0.141,0.065,SAFE
27.13,68.71,0.115,0.943,SAFE
24.73,57.13,0.154,-0.348,SAFE
29.32,62.17,0.115,-0.249,SAFE
22.97,53.73,0.161,-1.063,SAFE
30.4,78.43,0.5,-0.594,WARNING
24.88,61.47,0.177,0.422,SAFE
20.71,82.43,0.006,0.006,SAFE
25.38,83.34,1.21,0.754,WARNING
22.96,64.03,0.117,0.145,SAFE
27.52,52.9,0.076,-0.282,SAFE
23.04,40.0,2.81,1.719,WARNING
23.66,47.34,0.268,-0.075,SAFE
19.33,48.51,0.108,0.93,SAFE
23.64,81.54,0.11,-0.321,SAFE
17.73,66.39,0.131,0.568,SAFE
20.25,69.68,2.677,0.742,WARNING
27.28,40.0,0.103,0.167,SAFE
27.36,50.62,1.657,-1.884,WARNING
26.28,75.64,0.067,0.015,SAFE
22.1,68.44,0.221,0.984,SAFE
24.86,63.23,0.061,0.422,SAFE
24.99,71.78,0.032,0.357,SAFE
21.52,84.63,2.58,-1.378,WARNING
29.51,62.35,0.161,-0.576,SAFE
27.63,65.83,0.21,0.329,SAFE
24.34,67.31,0.066,0.328,SAFE
25.08,93.71,1.169,0.972,WARNING
25.63,40.0,0.075,-0.116,SAFE
18.87,73.2,0.13,0.325,SAFE
24.26,63.62,0.131,0.013,SAFE
22.95,71.8,0.192,-0.79,SAFE
22.0,57.11,2.957,-1.805,WARNING
24.16,64.41,0.098,0.345,SAFE
30.39,73.54,0.124,0.139,SAFE
26.92,95.0,0.5,-0.495,WARNING
23.29,74.7,0.211,-1.295,SAFE
26.72,54.82,0.091,0.504,SAFE
29.2,59.91,0.152,-0.213,SAFE
27.77,59.56,0.261,0.445,SAFE
25.18,43.45,0.174,1.491,SAFE
23.06,61.04,8.158,-1.713,DANGER
27.09,73.79,4.673,-0.56,WARNING
26.18,49.71,0.084,-0.168,SAFE
27.69,77.58,0.118,1.164,SAFE
26.91,70.85,3.531,-1.309,WARNING
28.15,56.19,4.257,1.549,WARNING
23.39,63.3,0.043,0.109,SAFE
28.95,84.18,0.028,-0.077,SAFE
25.59,73.8,0.018,-0.158,SAFE
31.23,65.11,5.0,-0.349,WARNING
22.93,62.15,0.145,0.838,SAFE
30.21,65.92,0.744,-0.855,WARNING
25.59,58.86,0.214,0.276,SAFE
23.05,40.0,0.0,-0.307,SAFE
23.55,89.51,5.0,-0.61,DANGER
24.04,66.86,1.569,2.069,WARNING
26.27,69.78,0.192,0.335,SAFE
26.57,64.31,0.049,0.491,SAFE
23.28,56.18,0.163,0.91,SAFE
24.93,62.77,0.225,-1.137,SAFE
31.43,45.81,1.638,1.402,WARNING
30.18,92.33,5.0,-2.007,DANGER
26.31,50.19,0.144,-0.615,SAFE
25.11,52.62,0.107,-0.367,SAFE
25.36,59.72,0.235,0.465,SAFE
26.84,80.46,0.133,0.175,SAFE
21.93,65.17,0.063,-0.133,SAFE
24.23,50.17,0.172,-0.01,SAFE
19.99,80.05,1.807,-0.782,WARNING
26.2,73.77,0.271,-1.198,SAFE
26.94,71.46,0.127,0.581,SAFE
23.55,73.59,0.066,0.555,SAFE
29.72,93.73,0.743,1.268,WARNING
21.32,91.22,1.641,-0.632,WARNING
20.61,56.76,0.163,0.554,SAFE
25.67,84.49,0.059,-0.227,SAFE
28.14,69.6,0.07,0.952,SAFE
30.05,70.99,1.791,0.818,WARNING
23.62,44.69,0.111,0.169,SAFE
28.24,62.96,0.065,-0.272,SAFE
24.88,55.25,0.09,0.769,SAFE
24.48,74.94,0.132,0.518,SAFE
27.65,77.85,1.589,-0.548,WARNING
26.96,40.11,0.105,-1.062,SAFE
20.27,64.74,0.079,-0.231,SAFE
29.43,78.46,0.207,1.212,SAFE
29.14,62.76,0.057,0.917,SAFE
23.12,73.75,0.091,-0.89,SAFE
26.19,69.21,2.796,-0.934,WARNING
26.48,69.1,0.145,1.02,SAFE
25.78,61.74,0.168,-0.909,SAFE
23.35,50.4,0.003,0.407,SAFE
22.99,51.54,0.125,-0.493,SAFE
24.92,73.51,0.181,1.294,SAFE
28.52,65.23,0.152,-0.616,SAFE
26.63,63.34,0.206,0.915,SAFE
23.89,59.91,0.025,0.148,SAFE
27.32,61.34,0.139,0.202,SAFE
16.45,77.56,2.608,-1.576,WARNING
28.45,60.98,3.859,-1.762,WARNING
19.78,48.91,0.046,-0.176,SAFE
23.91,73.92,0.118,0.198,SAFE
21.64,62.54,0.162,-0.9,SAFE
21.12,65.38,0.755,-0.871,WARNING
28.48,84.29,0.108,0.449,SAFE
23.6,64.75,0.095,0.45,SAFE
26.04,68.47,0.082,-0.11,SAFE
24.86,50.85,0.128,0.624,SAFE
26.43,62.36,1.112,-0.939,WARNING
25.23,72.31,0.044,-0.285,SAFE
21.15,46.34,2.333,1.318,WARNING
27.99,67.41,0.066,0.055,SAFE
23.52,66.21,0.061,0.101,SAFE
20.33,65.5,1.696,1.845,WARNING
23.72,77.45,0.112,-1.119,SAFE
29.5,69.01,0.124,0.637,SAFE
27.55,82.74,0.9,1.331,WARNING
23.95,53.08,0.067,-0.26,SAFE
23.95,66.63,0.099,0.688,SAFE
24.04,66.01,1.441,-0.786,WARNING
31.23,52.17,1.843,-0.549,WARNING
26.15,76.48,0.07,0.308,SAFE
26.29,92.9,0.577,0.639,WARNING
28.09,64.8,0.111,0.897,SAFE
25.72,71.06,0.118,1.256,SAFE
24.22,66.01,3.716,-0.054,WARNING
24.41,56.44,0.116,0.955,SAFE
24.79,43.15,0.081,-0.274,SAFE
24.89,56.53,0.162,0.722,SAFE
27.18,48.3,0.201,0.166,SAFE
25.16,85.45,0.217,0.357,SAFE
27.2,63.62,0.061,0.339,SAFE
24.76,60.85,0.083,-1.284,SAFE
25.24,75.67,0.09,-0.899,SAFE
19.01,51.54,0.072,0.082,SAFE
27.75,55.8,0.222,-1.35,SAFE
26.04,65.82,0.189,0.665,SAFE
30.01,77.48,7.97,1.823,DANGER
21.65,72.48,3.968,1.372,WARNING
38.69,76.47,7.036,-0.615,DANGER
29.36,67.72,4.663,1.99,WARNING
30.52,69.75,9.586,3.519,DANGER
28.81,78.53,0.205,0.889,SAFE
35.51,54.06,10.073,1.37,DANGER
25.9,71.81,2.202,1.032,WARNING
27.58,58.13,3.651,1.542,WARNING
37.23,63.45,5.879,0.795,DANGER
33.18,64.44,11.859,1.418,DANGER
30.17,95.0,8.367,2.045,DANGER
30.55,71.8,10.524,3.506,DANGER
33.41,57.17,12.201,-0.383,DANGER
32.76,68.64,3.36,1.03,WARNING
31.86,79.88,2.669,0.246,WARNING
36.9,89.63,10.451,2.825,DANGER
32.67,60.41,2.964,0.477,WARNING
32.57,48.94,2.833,0.667,WARNING
32.57,77.33,2.773,2.488,WARNING
34.42,58.48,10.959,2.305,DANGER
31.92,62.34,13.301,1.71,DANGER
34.4,69.95,4.246,1.342,WARNING
27.21,70.69,3.553,3.108,WARNING
35.24,80.39,9.235,2.402,DANGER
27.76,68.41,3.924,1.645,WARNING
32.3,68.03,8.408,0.802,DANGER
30.89,74.39,13.785,0.688,DANGER
32.4,74.74,3.974,0.288,WARNING
32.14,73.65,2.572,0.9,WARNING
34.01,85.16,6.826,2.358,DANGER
33.63,78.93,10.29,1.725,DANGER
35.6,81.81,7.367,1.752,DANGER
32.78,80.75,10.602,2.363,DANGER
30.69,53.01,7.938,2.717,DANGER
35.67,79.03,10.768,1.541,DANGER
34.65,73.85,8.523,1.742,DANGER
27.41,80.92,10.312,1.947,DANGER
37.65,61.9,10.51,1.741,DANGER
35.95,67.27,7.504,1.567,DANGER
29.61,63.81,4.373,1.879,WARNING
37.34,81.88,8.547,0.94,DANGER
31.91,86.09,13.578,3.878,DANGER
33.33,68.02,12.121,3.171,DANGER
31.98,86.51,10.01,3.17,DANGER
34.7,75.22,8.825,1.919,DANGER
29.73,69.89,19.454,2.122,DANGER
27.93,80.61,13.562,1.722,DANGER
39.29,82.35,8.155,1.535,DANGER
30.4,72.2,9.465,0.792,DANGER
29.79,95.0,3.994,1.039,WARNING
26.74,61.12,10.952,1.557,DANGER
30.52,83.95,7.871,2.095,DANGER
28.73,69.97,10.974,2.36,DANGER
36.48,66.22,15.808,2.781,DANGER
34.3,74.32,13.97,0.538,DANGER
28.77,76.47,1.675,1.026,WARNING
36.85,95.0,16.318,3.41,DANGER
34.12,73.41,14.075,1.733,DANGER
31.66,64.9,8.21,2.558,DANGER
25.74,80.34,12.807,3.5,DANGER
39.41,52.77,8.439,1.547,DANGER
24.25,76.66,9.202,1.429,DANGER
31.39,79.21,12.394,2.098,DANGER
38.47,86.86,10.589,1.353,DANGER
41.49,89.33,8.597,2.133,DANGER
41.3,74.19,16.136,3.809,DANGER
33.12,72.97,12.065,3.453,DANGER
38.99,65.11,18.499,3.258,DANGER
34.11,59.88,11.699,2.131,DANGER
36.29,81.34,12.082,1.901,DANGER
31.88,56.33,13.757,3.832,DANGER
33.98,73.68,12.123,1.861,DANGER
34.27,65.1,13.207,1.769,DANGER
31.17,87.47,15.092,2.872,DANGER
34.37,95.0,14.386,3.119,DANGER
28.96,61.45,13.485,2.831,DANGER
32.55,58.91,11.865,1.519,DANGER
29.84,80.53,10.505,1.578,DANGER
32.3,76.13,12.831,2.353,DANGER
33.27,81.25,11.461,2.647,DANGER
40.1,73.71,13.383,2.755,DANGER
39.34,77.0,17.28,2.905,DANGER
26.14,82.01,13.079,3.463,DANGER
33.54,94.81,13.577,1.959,DANGER
41.24,49.46,15.792,4.4,DANGER
31.9,73.0,15.097,2.232,DANGER
34.92,82.7,14.675,4.085,DANGER
38.17,69.24,11.378,1.201,DANGER
31.04,95.0,14.031,3.292,DANGER
35.23,75.06,13.581,4.079,DANGER
27.97,77.84,12.606,1.693,DANGER
33.12,89.86,16.224,2.302,DANGER
36.65,70.16,12.092,3.319,DANGER
31.0,60.13,16.755,4.39,DANGER
38.25,79.88,19.203,2.797,DANGER
33.24,95.0,14.786,3.122,DANGER
35.49,76.07,18.355,3.461,DANGER
39.41,68.75,15.276,3.709,DANGER
38.79,86.52,16.252,2.476,DANGER
25.38,61.03,0.197,-0.963,SAFE
23.71,58.88,0.082,0.18,SAFE
25.37,66.79,0.115,0.503,SAFE
26.63,74.25,0.093,-0.239,SAFE
25.15,93.58,2.826,0.543,WARNING
25.12,74.93,0.1,-0.568,SAFE
22.89,78.92,2.103,-1.692,WARNING
23.01,58.93,0.114,-0.339,SAFE
20.79,52.69,0.01,0.051,SAFE
30.25,65.75,0.18,-0.221,SAFE
21.27,66.29,0.196,-0.927,SAFE
22.92,52.06,0.181,-1.453,SAFE
22.84,62.9,0.036,-0.411,SAFE
27.68,69.79,4.505,0.718,WARNING
24.12,69.32,0.093,1.005,SAFE
28.74,71.05,0.82,0.95,WARNING
22.98,68.49,2.754,-0.653,WARNING
25.84,58.92,0.116,-0.923,SAFE
22.49,58.83,0.195,0.397,SAFE
31.44,50.61,1.035,0.508,WARNING
21.44,86.42,0.111,0.32,SAFE
25.93,65.16,1.619,-1.611,WARNING
26.9,62.3,0.084,-0.694,SAFE
26.24,53.85,0.103,-0.024,SAFE
24.44,95.0,1.469,0.39,WARNING
24.61,52.12,0.102,0.614,SAFE
25.13,59.85,0.328,0.115,SAFE
24.56,69.99,0.106,0.265,SAFE
27.89,72.2,0.124,0.068,SAFE
31.63,76.5,1.814,0.548,WARNING
23.33,86.69,2.872,0.25,WARNING
20.89,71.07,0.107,0.053,SAFE
24.74,52.33,0.088,-0.215,SAFE
32.74,61.92,2.082,0.065,WARNING
22.59,68.69,0.101,0.388,SAFE
29.92,89.82,1.988,0.214,WARNING
30.03,48.23,0.036,0.305,SAFE
23.34,79.43,0.146,1.074,SAFE
26.71,67.16,0.287,0.212,SAFE
29.89,75.05,0.133,-0.519,SAFE
23.86,63.78,0.134,0.707,SAFE
24.39,54.89,0.987,-1.093,WARNING
23.25,74.01,2.905,-0.865,WARNING
21.96,72.85,0.109,0.269,SAFE
23.05,76.66,0.074,0.413,SAFE
21.33,64.84,0.197,-0.996,SAFE
25.1,57.8,0.164,-0.306,SAFE
22.69,46.29,0.036,-0.485,SAFE
25.7,74.83,0.087,-0.389,SAFE
20.33,70.09,0.5,0.755,WARNING
25.99,53.41,0.195,0.565,SAFE
27.5,58.54,0.049,-0.015,SAFE
19.02,59.4,0.127,-0.437,SAFE
26.12,47.2,0.207,-1.08,SAFE
28.68,55.19,0.224,1.136,SAFE
21.37,51.39,0.169,0.474,SAFE
30.02,60.05,0.774,-0.565,WARNING
26.26,56.14,0.125,0.576,SAFE
22.88,45.48,0.109,-0.056,SAFE
24.83,89.27,1.312,-0.23,WARNING
26.67,80.03,0.113,0.348,SAFE
25.23,55.65,0.049,-0.593,SAFE
26.62,68.27,0.278,-0.275,SAFE
22.24,70.01,0.09,0.097,SAFE
25.51,79.29,0.17,-0.4,SAFE
20.76,55.18,0.5,0.535,WARNING
24.67,78.11,3.649,1.495,WARNING
22.29,58.43,0.219,-0.603,SAFE
22.79,48.97,0.121,-1.332,SAFE
28.71,73.69,1.486,-1.601,WARNING
28.27,80.49,0.056,-0.12,SAFE
26.83,95.0,0.504,-0.531,WARNING
21.72,50.6,0.19,0.166,SAFE
24.05,73.39,0.186,0.106,SAFE
28.64,60.08,0.098,-1.283,SAFE
25.43,74.4,0.116,-1.452,SAFE
31.96,47.35,0.146,0.237,SAFE
26.18,49.85,0.116,0.108,SAFE
25.58,55.69,0.161,-0.341,SAFE
24.07,65.95,0.147,-1.326,SAFE
25.4,57.31,0.064,0.377,SAFE
24.54,72.91,0.138,1.018,SAFE
27.12,77.32,0.074,0.222,SAFE
27.87,72.19,0.18,-0.678,SAFE
22.64,84.43,3.52,0.036,WARNING
21.01,69.99,1.737,-1.093,WARNING
19.49,50.4,0.044,0.846,SAFE
26.52,81.36,0.055,0.065,SAFE
21.69,57.74,0.179,-1.415,SAFE
18.54,75.93,0.144,-0.241,SAFE
26.17,83.88,0.081,0.371,SAFE
32.48,70.48,3.151,-0.266,WARNING
24.98,47.05,0.053,-0.221,SAFE
27.52,53.98,2.658,-0.98,WARNING
25.25,80.87,0.162,0.453,SAFE
24.7,62.97,0.062,-0.519,SAFE
27.76,65.95,1.67,-1.725,WARNING
24.13,74.11,0.13,-0.297,SAFE
25.8,73.36,0.155,0.785,SAFE
25.97,68.35,0.13,-0.31,SAFE
23.0,62.5,0.178,1.39,SAFE
27.98,61.25,0.395,0.343,SAFE
24.48,75.29,0.223,0.271,SAFE
22.73,71.64,0.17,-0.103,SAFE
